epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,391.19,0.59574,0.53189,1.08277,0.94126,0.91572,0.97064,0.83385,0.6184,0.52507,1.19771,0.0008912,0.0008912,0.0008912
58,397.935,0.61492,0.51943,1.1211,1,0.92734,0.97205,0.83724,0.63719,0.55564,1.23895,0.0008714,0.0008714,0.0008714
59,404.65,0.65594,0.52904,1.15529,0.97105,0.95873,0.97335,0.85234,0.55679,0.48706,1.16174,0.0008516,0.0008516,0.0008516
60,411.404,0.61562,0.69333,1.14841,0.94509,0.94286,0.96941,0.83651,0.58069,0.54944,1.1522,0.0008318,0.0008318,0.0008318
61,418.074,0.65257,0.5685,1.15131,0.98647,0.91429,0.97037,0.79884,0.62616,0.58952,1.18355,0.000812,0.000812,0.000812
62,424.739,0.58895,0.53058,1.10975,0.94439,0.97045,0.97193,0.7726,0.71002,0.60327,1.29312,0.0007922,0.0007922,0.0007922
63,431.52,0.62735,0.54636,1.15116,0.91882,0.97015,0.96944,0.81093,0.63084,0.55952,1.20052,0.0007724,0.0007724,0.0007724
64,438.182,0.56631,0.53049,1.0963,0.99933,0.91429,0.97039,0.83483,0.59761,0.49254,1.16588,0.0007526,0.0007526,0.0007526
65,444.82,0.58702,0.48634,1.12898,0.97134,0.96836,0.97349,0.83034,0.64853,0.49988,1.23702,0.0007328,0.0007328,0.0007328
66,451.917,0.56414,0.51257,1.08782,1,0.94469,0.99056,0.84565,0.5856,0.50677,1.1719,0.000713,0.000713,0.000713
67,459.993,0.64938,0.57899,1.17911,0.97044,0.93801,0.98674,0.86834,0.51247,0.48796,1.08507,0.0006932,0.0006932,0.0006932
68,467.175,0.65553,0.53947,1.2001,0.94203,0.92874,0.97999,0.88245,0.51725,0.5073,1.09806,0.0006734,0.0006734,0.0006734
69,473.892,0.61441,0.50911,1.10264,0.96986,0.94286,0.97728,0.86823,0.58644,0.51047,1.16708,0.0006536,0.0006536,0.0006536
70,480.742,0.60326,0.50982,1.12216,0.97127,0.966,0.97593,0.86051,0.54887,0.47451,1.14869,0.0006338,0.0006338,0.0006338
71,487.325,0.56803,0.46717,1.12348,0.94262,0.97143,0.97574,0.86116,0.53373,0.47488,1.13225,0.000614,0.000614,0.000614
72,494.047,0.58102,0.50748,1.13951,0.94287,0.97143,0.97824,0.86939,0.57194,0.50771,1.17933,0.0005942,0.0005942,0.0005942
73,500.967,0.57621,0.50553,1.10137,0.94312,0.97143,0.97466,0.8541,0.62518,0.50817,1.21154,0.0005744,0.0005744,0.0005744
74,507.819,0.55727,0.45596,1.10196,0.94443,0.97112,0.97319,0.86646,0.62549,0.47549,1.21773,0.0005546,0.0005546,0.0005546
75,514.581,0.52611,0.46046,1.06869,0.94429,0.9686,0.9746,0.83826,0.61388,0.47587,1.25798,0.0005348,0.0005348,0.0005348
76,521.445,0.55106,0.462,1.0986,1,0.93858,0.97481,0.85071,0.578,0.46234,1.20607,0.000515,0.000515,0.000515
77,528.286,0.52597,0.44148,1.10283,0.93541,0.97143,0.96952,0.86529,0.57403,0.49942,1.18897,0.0004952,0.0004952,0.0004952
78,535.373,0.57755,0.49582,1.11997,0.9432,0.97143,0.9682,0.85995,0.55618,0.49425,1.15937,0.0004754,0.0004754,0.0004754
79,542.36,0.5386,0.4503,1.08445,0.96247,0.97143,0.97686,0.86998,0.50152,0.42675,1.1093,0.0004556,0.0004556,0.0004556
80,549.004,0.50603,0.41786,1.07438,0.97122,0.96444,0.98043,0.8829,0.47944,0.42092,1.09057,0.0004358,0.0004358,0.0004358
81,555.701,0.49813,0.45074,1.04114,1,0.97044,0.98186,0.89106,0.47256,0.41626,1.07435,0.000416,0.000416,0.000416
82,562.615,0.50831,0.4394,1.05554,0.94439,0.97052,0.97704,0.87019,0.51595,0.4584,1.11103,0.0003962,0.0003962,0.0003962
83,569.565,0.51794,0.43386,1.03806,0.94218,0.97143,0.9799,0.86583,0.54699,0.47096,1.14572,0.0003764,0.0003764,0.0003764
84,576.299,0.56344,0.44784,1.0944,0.96785,0.97143,0.98475,0.87458,0.51728,0.44405,1.10957,0.0003566,0.0003566,0.0003566
85,583.187,0.49691,0.43253,1.07987,0.96867,0.97143,0.98476,0.86636,0.49427,0.44856,1.07953,0.0003368,0.0003368,0.0003368
86,589.762,0.53133,0.43938,1.09705,0.97134,0.96844,0.98729,0.86006,0.49096,0.44592,1.08651,0.000317,0.000317,0.000317
87,596.396,0.44821,0.41689,1.02359,0.96733,0.94286,0.9842,0.86351,0.54303,0.4439,1.14006,0.0002972,0.0002972,0.0002972
88,603.145,0.50556,0.54505,1.0601,0.96519,0.94286,0.98618,0.85402,0.57315,0.44601,1.16528,0.0002774,0.0002774,0.0002774
89,610.129,0.4868,0.40618,1.04487,0.99573,0.91429,0.98734,0.85269,0.53884,0.43883,1.12598,0.0002576,0.0002576,0.0002576
90,616.923,0.44306,0.38899,1.03304,0.99703,0.91429,0.98273,0.86545,0.49323,0.44062,1.08892,0.0002378,0.0002378,0.0002378
91,623.514,0.36775,0.43239,0.9889,0.99413,0.91429,0.9808,0.87137,0.47763,0.4577,1.08036,0.000218,0.000218,0.000218
92,630.051,0.4232,0.49105,0.98933,0.96948,0.90767,0.96634,0.86687,0.47778,0.46271,1.07568,0.0001982,0.0001982,0.0001982
93,636.769,0.36884,0.37745,0.9783,0.9694,0.90534,0.96026,0.87241,0.48652,0.47888,1.07445,0.0001784,0.0001784,0.0001784
94,643.335,0.35439,0.36501,0.96396,0.93625,0.91429,0.95815,0.86897,0.50392,0.49715,1.08961,0.0001586,0.0001586,0.0001586
95,649.976,0.36727,0.35265,0.97593,0.94269,0.93996,0.95973,0.86299,0.49954,0.4704,1.08639,0.0001388,0.0001388,0.0001388
96,656.688,0.32676,0.33645,0.95034,0.94267,0.93963,0.9602,0.86696,0.49429,0.4499,1.09069,0.000119,0.000119,0.000119
97,663.301,0.36721,0.45698,0.99567,0.92843,0.94286,0.964,0.86912,0.49541,0.44288,1.09688,9.92e-05,9.92e-05,9.92e-05
98,669.858,0.34288,0.33865,0.96769,0.97055,0.94148,0.96537,0.86252,0.50327,0.44222,1.11147,7.94e-05,7.94e-05,7.94e-05
99,676.332,0.35409,0.33721,0.97298,0.97057,0.94242,0.96794,0.8692,0.49182,0.42909,1.09744,5.96e-05,5.96e-05,5.96e-05
100,682.863,0.35113,0.37967,0.95488,0.96908,0.94286,0.96954,0.86971,0.49401,0.42417,1.10224,3.98e-05,3.98e-05,3.98e-05
